t	k3_H	k3_O	k3_N	k3_S	k3_V	kvHtxy	kvHTxy	ksHxy	kvHtxz	kvHTxz	ksHxz	kvHtyz	kvHTyz	ksHyz	kvOtxy	kvOTxy	ksOxy	kvOtxz	kvOTxz	ksOxz	kvOtyz	kvOTyz	ksOyz	kvNtxy	kvNTxy	ksNxy	kvNtxz	kvNTxz	ksNxz	kvNtyz	kvNTyz	ksNyz	kvStxy	kvSTxy	ksSxy	kvStxz	kvSTxz	ksSxz	kvStyz	kvSTyz	ksSyz
10.0	-3.5542	-3.8993	-2.4411	-2.3671	-3.6972	-3.031517	-3.014495	0.7712	-3.201561	-3.280011	0.7982	-3.189862	-3.151781	0.7798	-3.283484	-3.9036	0.8011	-3.066738	-4.170134	0.7963	-3.040436	-3.961707	0.7329	-2.463694	-2.454565	0.6463	-2.296713	-2.487993	0.7374	-2.187722	-2.129671	0.7032	-1.788257	-1.812068	0.4972	-1.742191	-1.856833	0.4012	-1.90324	-1.993975	0.4523
11.0	-3.6413	-4.1279	-2.5538	-2.4154	-3.5759	-3.219764	-3.215384	0.6032	-2.891242	-2.784568	0.7145	-2.905141	-2.895925	0.7286	-3.404418	-4.184197	0.8158	-2.90725	-3.208212	0.896	-2.813296	-3.464019	0.8571	-2.387979	-2.412638	0.4667	-2.147999	-2.152303	0.5662	-2.174059	-2.245735	0.5658	-1.709824	-1.829338	0.2843	-1.703335	-1.843487	0.3447	-1.898838	-2.025668	0.4785
12.0	-3.3278	-3.8197	-2.5536	-2.4609	-3.4953	-3.195693	-3.222814	0.6798	-2.867887	-2.756644	0.6771	-2.880784	-2.907833	0.7905	-3.328494	-4.046013	0.9293	-3.042692	-3.324032	0.9102	-2.846598	-3.402546	0.9016	-2.527825	-2.776361	0.4815	-2.190785	-2.332582	0.5488	-2.313435	-2.559402	0.6401	-1.776089	-1.952121	0.3101	-1.749637	-1.866964	0.3583	-1.954415	-2.120802	0.4667
13.0	-3.2569	-3.7877	-2.6925	-2.57	-3.3737	-2.986182	-2.96754	0.5706	-2.815819	-2.725027	0.5605	-2.786065	-2.806891	0.7927	-3.264135	-3.723866	0.803	-3.010687	-3.299589	0.7678	-2.687582	-3.401634	0.8427	-2.35947	-2.551512	0.405	-2.14911	-2.367229	0.4385	-2.259871	-2.495564	0.6207	-1.754257	-1.865705	0.2266	-1.722589	-1.809739	0.3003	-1.810293	-1.96001	0.5195
14.0	-3.1404	-3.681	-2.7998	-2.6637	-3.3207	-2.918765	-2.933781	0.5257	-2.715387	-2.53977	0.5502	-2.668783	-2.712861	0.6028	-3.216027	-3.713513	0.6946	-3.003408	-3.14131	0.7826	-2.838476	-3.445486	0.8156	-2.341483	-2.499837	0.4173	-2.126466	-2.225186	0.3769	-2.244768	-2.421972	0.494	-1.768931	-1.970376	0.2422	-1.66365	-1.717014	0.2453	-1.737539	-1.923827	0.4134
15.0	-3.0544	-3.5216	-2.7767	-2.6313	-3.2332	-2.887175	-2.911754	0.4661	-2.567492	-2.431417	0.5558	-2.628956	-2.687918	0.681	-3.160632	-3.636304	0.678	-2.95792	-3.112901	0.756	-2.710215	-3.43488	0.8648	-2.390934	-2.591525	0.3378	-2.139466	-2.250788	0.3822	-2.217651	-2.432183	0.5602	-1.759226	-2.011938	0.2148	-1.62501	-1.726869	0.2633	-1.690619	-1.849246	0.4497
16.0	-3.0108	-3.4642	-2.7482	-2.6072	-3.1535	-2.750132	-2.777451	0.5436	-2.541585	-2.436024	0.5622	-2.636708	-2.679552	0.6673	-3.048131	-3.652011	0.7241	-2.888335	-3.054511	0.7634	-2.732747	-3.354664	0.848	-2.438295	-2.651477	0.4027	-2.242417	-2.358597	0.371	-2.329956	-2.57603	0.5559	-1.800089	-2.020907	0.2843	-1.716612	-1.851891	0.255	-1.72312	-1.939087	0.4121
17.0	-3.0198	-3.483	-2.7795	-2.626	-3.1397	-2.642309	-2.673708	0.5568	-2.488498	-2.393352	0.5487	-2.51189	-2.536297	0.5966	-2.908369	-3.449617	0.6961	-2.881917	-3.033166	0.7281	-2.800681	-3.291561	0.7614	-2.361779	-2.576244	0.4189	-2.262335	-2.40625	0.3866	-2.281709	-2.439084	0.4776	-1.79208	-2.002697	0.3029	-1.680651	-1.844374	0.2803	-1.692221	-1.85228	0.3539
18.0	-2.9295	-3.4211	-2.7144	-2.5929	-3.0813	-2.647217	-2.686682	0.5834	-2.447711	-2.37153	0.5431	-2.46166	-2.481154	0.5636	-2.822598	-3.421285	0.6999	-2.797903	-3.072811	0.7287	-2.697937	-3.197192	0.7031	-2.344037	-2.532189	0.4461	-2.240862	-2.398736	0.4059	-2.259265	-2.421174	0.4775	-1.725312	-1.946824	0.3034	-1.673626	-1.817031	0.2899	-1.666025	-1.841816	0.3447
19.0	-2.8438	-3.3775	-2.6606	-2.5758	-3.046	-2.545765	-2.578199	0.602	-2.46623	-2.391755	0.5031	-2.438487	-2.471563	0.5661	-2.785108	-3.336703	0.7009	-2.803043	-3.024735	0.7143	-2.709088	-3.220987	0.7095	-2.281013	-2.480865	0.4691	-2.247645	-2.383278	0.3973	-2.237642	-2.380172	0.4625	-1.666945	-1.863965	0.3284	-1.690607	-1.830895	0.2955	-1.67981	-1.806665	0.3359
20.0	-2.8162	-3.3462	-2.6547	-2.5706	-3.0556	-2.627937	-2.664226	0.605	-2.523956	-2.530974	0.4863	-2.43989	-2.496512	0.5462	-2.871522	-3.378623	0.6791	-2.821299	-3.239717	0.7702	-2.734107	-3.326008	0.6989	-2.349713	-2.558134	0.5317	-2.286299	-2.460202	0.3826	-2.259442	-2.397923	0.4545	-1.717874	-1.902848	0.3896	-1.748881	-1.914905	0.2774	-1.702789	-1.847767	0.3186
